club id,club name,club abbreviation,club/sportec id,club/name, accurate cross, accurate long balls, accurate pass, aerial lost, aerial won, att pen goal, blocked scoring att, corner taken, failed long balls, fk foul lost, fk foul won, games played, goal assist, goals, goals conceded, hand ball, interception, ontarget scoring att, open play pass, own goals, att pen taken, penalty conceded, penalty won, post scoring att, saves, shot off target, successful open play pass, successful short pass, total clearance, total offside, total pass, total pass miss, total scoring att, won corners, yellow card, second yellow, red card, total red card, att freekick total, att hd total, att lf total, att rf total, touches, aerial duel, accurate pass per, accurate shooting per, goal conversion per, expected goals, type, total matches, home matches, away matches, total wins, home wins, away wins, total losses, away losses, total draws, home draws, away draws, successfull short pass, penalty save, home losses
28,New York City FC,NYC,MLS-CLU-000004,New York City FC,47,189,6234,178,173,2,62,77,287,224,212,16,21,24,17,10,24,79,7041,,2,1,2,2,60,79,5898,1935,196,33,7458,1224,230,77,34,,3,3,260,24,76,130,10124,351,83.59,34.35,10.43,28.7153,regular,16,9,7,9,6,3,5,3,2,1,1,1935,1,2
29,Atlanta United,ATL,MLS-CLU-00000A,Atlanta United,91,287,6670,202,213,3,70,87,308,173,151,16,23,21,21,1,18,76,7395,1,3,3,3,2,47,88,6373,2195,166,22,7738,1068,249,87,29,,1,1,182,45,52,150,10176,415,86.2,30.52,8.43,32.2253,regular,16,9,7,4,3,1,8,3,4,1,3,2195,1,5
30,FC Cincinnati,CIN,MLS-CLU-000007,FC Cincinnati,55,270,6313,176,211,1,47,85,289,208,191,16,26,23,16,10,23,92,7147,2,1,4,1,2,42,74,6029,1795,150,40,7514,1201,221,85,35,1,,1,210,25,94,102,10094,387,84.02,41.63,10.41,26.7025,regular,16,8,8,10,4,6,3,1,3,2,1,1795,1,2
31,Los Angeles Football Club,LAFC,MLS-CLU-000001,Los Angeles Football Club,60,257,5674,151,184,4,61,106,315,239,172,16,26,27,19,11,12,115,6443,2,4,2,4,3,49,78,5384,1117,179,28,6781,1107,263,106,37,2,,2,187,33,47,181,9276,335,83.67,43.73,10.27,33.0169,regular,16,9,7,9,7,2,4,4,3,2,1,1117,1,
32,Inter Miami CF,MIA,MLS-CLU-000008,Inter Miami CF,54,305,9003,150,167,1,51,78,346,207,206,18,51,42,27,6,26,105,9935,2,1,4,1,4,55,57,8608,2608,191,43,10371,1368,219,78,44,,,,235,28,98,93,12834,317,86.81,47.95,19.18,31.4718,regular,18,10,8,10,5,5,3,1,5,3,2,2608,1,2
33,Nashville SC,NSH,MLS-CLU-000009,Nashville SC,61,273,5885,222,240,4,67,76,343,162,190,16,21,19,22,11,18,66,6690,2,5,4,5,3,52,50,5600,1324,165,33,7062,1177,189,76,25,,1,1,212,41,45,102,9359,462,83.33,34.92,10.05,24.3844,regular,16,10,6,4,3,1,5,3,7,5,2,1324,1,2
261248,Austin FC,ATX,MLS-CLU-000003,Austin FC,51,250,5910,191,174,3,43,67,270,207,219,17,21,21,25,12,25,54,6608,,5,4,5,4,78,51,5575,1613,159,33,7047,1137,154,67,44,,,,246,38,41,75,9335,365,83.87,35.06,13.64,20.1782,regular,17,9,8,6,5,1,6,4,5,2,3,1613,,2
1406988,Charlotte FC,CLT,MLS-CLU-00000I,Charlotte FC,55,300,5719,204,184,1,36,79,438,203,189,17,12,17,18,7,22,65,6704,,3,,3,1,52,62,5405,1379,202,28,7084,1365,176,79,46,,,,235,34,42,100,9449,388,80.73,36.93,9.66,22.9241,regular,17,9,8,7,5,2,6,5,4,3,1,1379,,1
2326207,St. Louis CITY SC,STL,MLS-CLU-00001L,St. Louis CITY SC,72,189,4501,172,198,2,82,97,288,261,181,16,20,20,25,13,11,87,5475,2,3,2,3,4,44,92,4226,1446,203,19,5831,1330,271,97,47,1,,1,213,32,78,160,8388,370,77.19,32.1,7.38,25.597,regular,16,9,7,3,3,,4,2,9,4,5,1446,,2
2643,Atlanta United,ATL,MLS-CLU-000014,Whitecaps FC 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regular,,,,,,,,,,,,,,
