created,updated,id,season id,club id,club name,club abbreviation,venue id,country id,region id,club/created,club/updated,club/id,club/opta id,club/sportec id,club/name,club/abbreviation,club/year founded,accurate cross,accurate long balls,accurate pass,aerial lost,aerial won,att pen goal,blocked scoring att,clean sheet,corner taken,failed long balls,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,hand ball,interception,ontarget scoring att,open play pass,own goals,att pen taken,penalty conceded,penalty won,post scoring att,saves,shot off target,successful open play pass,successful short pass,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,yellow card,second yellow,red card,total red card,att freekick total,att hd total,att lf total,att rf total,touches,aerial duel,accurate pass per,accurate shooting per,goal conversion per,expected goals,type,total matches,home matches,away matches,total wins,home wins,away wins,total losses,away losses,total draws,home draws,away draws,successfull short pass,penalty save,home losses,goal_weighted_score,attack_weighted_score,defense_weighted_score,possession_weighted_score
1702320000000.0,1702320000000.0,3763003,1047,24,Philadelphia Union,PHI,58,13,4,1602180000000.0,1602180000000.0,24,5513,MLS-CLU-000002,Philadelphia Union,PHI,2008,4.56,19.48,326.6,13.08,15.48,0.16,3.96,6,5.32,19.36,11.04,9.96,1.0,1.92,1.8,1.68,0.36,0.8,5.76,378.36,0.04,0.2,0.08,0.2,0.08,3.04,4.52,309.32,83.4,8.56,2.28,401.44,74.84,15.52,5.32,2.0,0.0,0.04,0.04,12.04,3.08,4.08,8.36,544.08,28.56,3.25,1.48,0.46,1.84,regular,25,13,12,6,3,3.0,10,4,9,4.0,5.0,2085,0.0,6.0,1.164,213.216,2.208,250.96800000000005
1702320000000.0,1702320000000.0,3763004,1047,26,Orlando City,ORL,79,13,4,1602180000000.0,1602180000000.0,26,6900,MLS-CLU-00000O,Orlando City,ORL,2013,4.64,13.8,415.04,13.64,9.76,0.08,3.72,6,5.96,15.84,9.36,11.76,1.0,1.72,1.44,1.52,0.8,0.88,4.52,461.12,0.0,0.12,0.24,0.12,0.04,2.72,4.32,394.72,145.12,8.04,2.08,485.04,70.0,13.32,5.96,1.72,0.0,0.08,0.08,13.8,1.92,5.56,5.8,622.08,23.4,3.42,1.36,0.43,1.59,regular,25,12,13,9,3,6.0,9,4,7,4.0,3.0,3628,1.0,5.0,0.972,264.204,2.088,300.36800000000005
1702320000000.0,1702320000000.0,3763005,1047,27,Minnesota United,MIN,84,13,4,1602180000000.0,1607400000000.0,27,6977,MLS-CLU-00000L,Minnesota United,MIN,2015,3.56,14.12,302.84,13.84,12.24,0.04,3.72,3,5.64,20.72,13.48,9.2,1.0,1.8,1.56,1.64,0.64,0.64,5.04,357.44,0.04,0.08,0.12,0.08,0.2,2.96,3.6,285.76,64.88,8.8,1.52,380.64,77.8,12.92,5.64,2.08,0.12,0.08,0.2,12.8,2.12,3.96,6.84,522.68,26.08,3.18,1.56,0.48,1.58,regular,25,13,12,9,5,4.0,10,6,6,4.0,2.0,1622,1.0,4.0,1.02,199.59599999999998,2.2160000000000006,237.816
1702320000000.0,1702320000000.0,3763006,1047,28,New York City FC,NYC,71,13,4,1602180000000.0,1602180000000.0,28,9668,MLS-CLU-000004,New York City FC,NYC,2013,2.92,12.4,400.44,11.56,11.28,0.12,3.76,5,4.56,17.4,12.88,12.16,1.0,1.56,1.44,1.2,0.6,1.32,4.64,449.52,0.0,0.12,0.08,0.12,0.12,3.96,4.64,380.64,119.4,10.16,2.2,473.76,73.32,13.8,4.56,2.08,0.0,0.16,0.16,14.72,1.28,4.52,7.96,630.68,22.84,3.38,1.34,0.42,1.76,regular,25,12,13,11,8,3.0,9,6,5,1.0,4.0,2985,1.0,3.0,0.9359999999999999,256.37999999999994,2.536,297.016
1702320000000.0,1702320000000.0,3763007,1047,29,Atlanta United,ATL,80,13,4,1602180000000.0,1633470000000.0,29,11091,MLS-CLU-00000A,Atlanta United,ATL,2014,5.36,18.44,384.12,12.44,12.76,0.12,3.88,4,5.76,20.28,11.0,9.08,1.0,1.28,1.36,1.44,0.08,1.08,5.0,428.68,0.04,0.16,0.16,0.16,0.16,3.12,4.8,365.16,122.0,10.44,1.32,451.16,67.04,14.64,5.76,1.76,0.04,0.04,0.08,11.52,2.76,2.8,8.96,600.68,25.2,3.41,1.37,0.37,2.0,regular,25,13,12,7,5,2.0,11,6,7,3.0,4.0,3050,1.0,5.0,0.8280000000000001,245.33999999999997,2.592,283.40000000000003
1702320000000.0,1702320000000.0,3763008,1047,30,FC Cincinnati,CIN,134772,13,4,1602180000000.0,1635370000000.0,30,11504,MLS-CLU-000007,FC Cincinnati,CIN,2019,3.04,15.28,406.76,11.16,13.36,0.08,3.36,6,5.16,17.2,12.64,11.6,1.0,2.0,1.76,1.32,0.52,1.24,5.84,457.4,0.08,0.12,0.16,0.12,0.16,3.12,4.56,387.64,113.12,8.68,2.68,480.92,74.16,14.36,5.16,2.28,0.12,0.04,0.16,12.76,1.4,6.12,6.76,637.84,24.52,3.38,1.63,0.49,1.74,regular,25,13,12,15,6,9.0,7,2,3,2.0,1.0,2828,1.0,5.0,1.152,261.0,2.248,301.28000000000003
1702320000000.0,1702320000000.0,3763009,1047,31,Los Angeles Football Club,LAFC,81,13,4,1602180000000.0,1602180000000.0,31,11690,MLS-CLU-000001,Los Angeles Football Club,LAFC,2018,3.67,17.5,364.04,9.54,11.12,0.29,3.67,9,6.25,19.92,13.83,10.33,1.0,1.92,1.96,1.25,0.67,0.88,6.96,409.0,0.08,0.29,0.12,0.29,0.25,2.67,5.17,345.17,69.0,10.12,1.71,431.29,67.25,16.5,6.25,2.08,0.12,0.04,0.17,11.42,2.38,3.46,10.58,583.62,20.67,3.52,1.76,0.49,2.05,regular,24,13,11,14,9,5.0,5,4,5,3.0,2.0,1656,1.0,1.0,1.251,234.0,2.45,272.016
1702320000000.0,1702320000000.0,3763010,1047,32,Inter Miami CF,MIA,85,13,4,1602180000000.0,1602180000000.0,32,14880,MLS-CLU-000008,Inter Miami CF,MIA,2018,3.28,17.24,477.64,8.16,8.76,0.04,2.52,4,4.16,18.32,11.6,10.68,1.0,2.68,2.24,1.56,0.36,1.36,5.76,527.76,0.08,0.04,0.2,0.04,0.16,3.08,3.32,456.6,135.12,9.72,2.16,551.12,73.48,12.12,4.16,2.48,0.12,0.0,0.12,12.2,1.72,5.0,5.4,684.84,16.92,3.47,1.9,0.74,1.71,regular,25,13,12,16,8,8.0,4,2,5,3.0,2.0,3378,1.0,2.0,1.488,303.34799999999996,2.5280000000000005,338.512
1702320000000.0,1702320000000.0,3763011,1047,33,Nashville SC,NSH,653914,13,4,1602180000000.0,1602180000000.0,33,15154,MLS-CLU-000009,Nashville SC,NSH,2020,3.96,17.96,366.4,14.2,15.72,0.2,3.8,6,4.56,20.48,10.36,11.28,1.0,1.16,1.0,1.56,0.76,1.24,3.68,413.56,0.12,0.24,0.2,0.24,0.16,3.6,3.4,347.2,82.36,9.0,1.84,437.28,70.88,11.32,4.56,1.52,0.0,0.08,0.08,13.0,2.8,2.48,6.0,577.44,29.92,3.35,1.3,0.35,1.38,regular,25,13,12,6,4,2.0,11,7,8,5.0,3.0,2059,1.0,4.0,0.7080000000000001,235.09199999999998,2.3600000000000003,272.384
1702320000000.0,1702320000000.0,3763012,1047,261248,Austin FC,ATX,134771,13,4,1615410000000.0,1615410000000.0,261248,15296,MLS-CLU-000003,Austin FC,ATX,2021,3.12,15.92,363.12,11.04,10.36,0.12,2.4,6,3.84,15.52,12.68,12.4,1.0,1.2,1.12,1.48,0.76,1.12,3.0,403.36,0.0,0.2,0.24,0.2,0.16,4.04,3.08,343.92,99.68,8.68,1.88,428.2,65.08,8.8,3.84,2.48,0.04,0.04,0.08,13.96,2.28,2.12,4.4,560.24,21.4,3.39,1.36,0.51,1.07,regular,25,13,12,8,6,2.0,10,7,7,4.0,3.0,2492,0.0,3.0,0.7320000000000001,230.844,2.2560000000000002,266.47200000000004
1702320000000.0,1702320000000.0,3763013,1047,1406988,Charlotte FC,CLT,755,13,4,1637690000000.0,1637690000000.0,1406988,16629,MLS-CLU-00000I,Charlotte FC,CLT,2019,3.08,16.68,329.32,11.8,9.88,0.08,2.32,9,4.44,24.52,11.16,10.0,1.0,0.88,1.16,1.08,0.36,1.44,4.16,381.32,0.0,0.16,0.04,0.16,0.08,3.4,4.0,310.84,77.84,10.84,1.56,403.52,74.2,11.28,4.44,2.56,0.0,0.08,0.08,12.52,1.92,3.04,6.32,540.44,21.68,3.26,1.48,0.41,1.52,regular,25,12,13,10,6,4.0,8,6,7,4.0,3.0,1946,1.0,2.0,0.636,214.43999999999997,2.672,250.96
1702320000000.0,1702320000000.0,3763014,1047,2326207,St. Louis CITY SC,STL,719450,13,4,1668610000000.0,1668610000000.0,2326207,17012,MLS-CLU-00001L,St. Louis CITY SC,STL,2019,4.12,12.88,289.2,11.84,13.04,0.12,5.12,6,5.84,18.76,15.0,10.6,1.0,1.2,1.16,1.84,0.64,0.8,5.12,346.68,0.12,0.2,0.2,0.2,0.2,3.08,5.36,272.4,87.08,11.72,1.32,369.04,79.84,16.32,5.84,2.8,0.04,0.0,0.04,12.88,2.24,4.72,9.32,525.68,24.88,3.13,1.25,0.28,1.66,regular,25,13,12,4,4,0.0,10,6,11,5.0,6.0,2177,1.0,4.0,0.744,192.29999999999998,2.8720000000000003,233.42399999999998
