created,updated,id,season_id,club_id,club_name,club_abbreviation,venue_id,country_id,region_id,club/created,club/updated,club/id,club/opta_id,club/sportec_id,club/name,club/abbreviation,club/year_founded,regular_season_statistics/att_pen_goal,regular_season_statistics/clean_sheet,regular_season_statistics/fk_foul_lost,regular_season_statistics/fk_foul_won,regular_season_statistics/games_played,regular_season_statistics/goal_assist,regular_season_statistics/goals,regular_season_statistics/goals_conceded,regular_season_statistics/ontarget_scoring_att,regular_season_statistics/att_pen_miss,regular_season_statistics/att_pen_taken,regular_season_statistics/penalty_conceded,regular_season_statistics/penalty_faced,regular_season_statistics/saves,regular_season_statistics/total_offside,regular_season_statistics/total_scoring_att,regular_season_statistics/yellow_card,regular_season_statistics/total_red_card,regular_season_statistics/winning_goal,regular_season_statistics/type,regular_season_statistics/total_matches,regular_season_statistics/home_matches,regular_season_statistics/away_matches,regular_season_statistics/total_wins,regular_season_statistics/home_wins,regular_season_statistics/away_wins,regular_season_statistics/total_losses,regular_season_statistics/home_losses,regular_season_statistics/away_losses,regular_season_statistics/total_draws,regular_season_statistics/home_draws,regular_season_statistics/away_draws,regular_season_statistics/own_goals
1602184681000,1602184681000,83,9,5,MetroStars,MET,4645,,,1602184675000,1602184675000,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,4,8,498,510,30,35,40,40,191,3,7,3,5,143,63,399,53,4,11,regular,30,15,15,11,5,6,10,6,4,9,4,5,
1602184681000,1602184681000,84,9,6,Kansas City Wizards,KC,2703,,,1602184675000,1602184675000,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,6,4,422,431,30,41,48,44,180,,6,6,6,121,84,411,58,2,11,regular,30,15,15,11,8,3,10,4,6,9,3,6,1
1602184681000,1602184681000,85,9,7,Colorado Rapids,COL,770,,,1602184675000,1602184675000,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,7,9,482,409,30,40,40,45,172,1,8,7,8,97,96,384,52,5,12,regular,30,15,15,11,8,3,12,2,10,7,5,2,2
1602184681000,1602184681000,86,9,8,Columbus Crew,CLB,21,,,1602184675000,1635388569000,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,8,6,476,462,30,47,44,44,179,,8,8,8,125,88,395,65,2,12,regular,30,15,15,10,6,4,12,3,9,8,6,2,
1602184681000,1602184681000,87,9,9,New England Revolution,NE,23,,,1602184675000,1602184675000,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,4,4,458,483,30,51,55,47,201,1,5,4,5,107,65,440,45,5,12,regular,30,15,15,12,7,5,9,4,5,9,4,5,2
1602184681000,1602184681000,88,9,10,San Jose Earthquakes,SJ,3577,,,1602184675000,1602184675000,10,1131,MLS-CLU-00000Q,San Jose Earthquakes,SJ,1994,2,10,476,409,30,57,45,35,164,,2,1,1,114,77,377,53,4,14,regular,30,15,15,14,7,7,7,4,3,9,4,5,1
1602184681000,1602184681000,89,9,11,Chicago Fire,CHI,359444,,,1602184675000,1635374910000,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,7,8,491,511,30,42,53,43,200,2,9,4,4,128,98,454,50,3,15,regular,30,15,15,15,10,5,7,1,6,8,4,4,
1602184681000,1602184681000,90,9,12,Los Angeles Galaxy,LA,38,,,1602184675000,1602184675000,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,7,3,494,468,30,33,35,35,190,1,8,3,4,149,85,368,52,3,12,regular,30,15,15,9,9,,12,3,9,9,3,6,
1602184681000,1602184681000,91,9,13,D.C. United,DC,22,,,1602184675000,1602184675000,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,8,7,530,508,30,38,38,36,165,,8,5,7,126,67,331,69,4,11,regular,30,15,15,10,6,4,11,3,8,9,6,3,
1602184681000,1602184681000,92,9,20,Dallas Burn,DAL,359439,,,1602184675000,1602184675000,20,1903,MLS-CLU-000005,FC Dallas,DAL,1995,6,4,509,393,30,34,35,64,213,4,10,6,10,138,102,332,52,6,19,regular,30,15,15,6,5,1,19,8,11,5,2,3,
