created,updated,id,season_id,club_id,club_name,club_abbreviation,venue_id,country_id,region_id,club/created,club/updated,club/id,club/opta_id,club/sportec_id,club/name,club/abbreviation,club/year_founded,regular_season_statistics/att_pen_goal,regular_season_statistics/clean_sheet,regular_season_statistics/fk_foul_lost,regular_season_statistics/fk_foul_won,regular_season_statistics/games_played,regular_season_statistics/goal_assist,regular_season_statistics/goals,regular_season_statistics/goals_conceded,regular_season_statistics/ontarget_scoring_att,regular_season_statistics/own_goals,regular_season_statistics/att_pen_miss,regular_season_statistics/att_pen_taken,regular_season_statistics/penalty_conceded,regular_season_statistics/penalty_faced,regular_season_statistics/saves,regular_season_statistics/total_offside,regular_season_statistics/total_scoring_att,regular_season_statistics/yellow_card,regular_season_statistics/total_red_card,regular_season_statistics/winning_goal,regular_season_statistics/type,regular_season_statistics/total_matches,regular_season_statistics/home_matches,regular_season_statistics/away_matches,regular_season_statistics/total_wins,regular_season_statistics/home_wins,regular_season_statistics/away_wins,regular_season_statistics/total_losses,regular_season_statistics/home_losses,regular_season_statistics/away_losses,regular_season_statistics/total_draws,regular_season_statistics/home_draws,regular_season_statistics/away_draws
1602184681000,1602184681000,127,13,5,New York Red Bulls,NY,4645,,,1602184675000,1602184675000,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,5,9,424,361,30,40,47,45,178,2,1,6,4,5,116,102,396,39,4,12,regular,30,15,15,12,9,3,11,3,8,7,3,4
1602184681000,1602184681000,128,13,6,Kansas City Wizards,KC,2703,,,1602184675000,1602184675000,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,6,5,387,483,30,46,45,45,181,,1,7,6,7,110,103,420,58,3,12,regular,30,15,15,11,7,4,12,5,7,7,3,4
1602184681000,1602184681000,129,13,7,Colorado Rapids,COL,39,,,1602184675000,1602184675000,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,5,9,444,403,30,22,29,34,161,2,,5,2,2,121,82,322,60,7,13,regular,30,15,15,9,6,3,13,4,9,8,5,3
1602184681000,1602184681000,130,13,8,Columbus Crew,CLB,21,,,1602184675000,1635388569000,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,2,8,417,482,30,46,39,44,178,2,1,3,2,3,106,103,384,46,3,11,regular,30,15,15,9,5,4,11,5,6,10,5,5
1602184681000,1602184681000,131,13,9,New England Revolution,NE,23,,,1602184675000,1602184675000,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,3,10,381,461,30,44,51,43,193,,1,4,3,3,120,83,398,47,1,14,regular,30,15,15,14,8,6,8,3,5,8,4,4
1602184681000,1602184681000,132,13,11,Chicago Fire,CHI,20,,,1602184675000,1635374910000,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,6,11,393,420,30,24,31,36,157,,,6,6,6,117,91,312,60,5,10,regular,30,15,15,10,6,4,10,3,7,10,6,4
1602184681000,1602184681000,133,13,12,Los Angeles Galaxy,LA,38,,,1602184675000,1602184675000,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,5,5,354,385,30,33,38,48,179,,2,7,4,5,125,96,315,48,5,14,regular,30,15,15,9,6,3,14,6,8,7,3,4
1602184681000,1602184681000,134,13,13,D.C. United,DC,22,,,1602184675000,1602184675000,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,6,8,509,366,30,52,56,34,190,,1,7,1,3,124,115,361,65,2,16,regular,30,15,15,16,10,6,7,2,5,7,3,4
1602184681000,1602184681000,135,13,18,Houston Dynamo,HOU,40,,,1602184675000,1633474374000,18,1897,MLS-CLU-00000H,Houston Dynamo FC,HOU,2005,2,13,410,455,30,42,43,23,145,1,1,3,2,3,93,125,335,49,4,15,regular,30,15,15,15,8,7,8,3,5,7,4,3
1602184681000,1602184681000,136,13,19,Real Salt Lake,RSL,359440,,,1602184675000,1602184675000,19,1899,MLS-CLU-00000R,Real Salt Lake,RSL,2004,5,7,412,428,30,20,31,45,205,1,1,6,4,6,152,90,345,63,5,15,regular,30,15,15,6,4,2,15,7,8,9,4,5
1602184681000,1602184681000,137,13,20,FC Dallas,DAL,34,,,1602184675000,1602184675000,20,1903,MLS-CLU-000005,FC Dallas,DAL,1995,5,7,465,445,30,32,37,44,158,,,5,3,3,110,82,350,64,4,13,regular,30,15,15,13,7,6,12,5,7,5,3,2
1602184681000,1602184681000,138,13,21,Toronto FC,TOR,37,,,1602184675000,1602184675000,21,2077,MLS-CLU-00000M,Toronto FC,TOR,2005,8,5,494,422,30,25,25,49,169,1,,8,8,8,115,78,277,62,7,17,regular,30,15,15,6,5,1,17,7,10,7,3,4
1602184681000,1602184681000,139,13,22,Chivas USA,CHV,38,,,1602184675000,1602184675000,22,2079,,Chivas USA,CHV,2005,3,14,434,412,30,51,46,28,175,,,3,2,3,100,98,354,62,4,15,regular,30,15,15,15,10,5,7,1,6,8,4,4
