created,updated,id,season_id,club_id,club_name,club_abbreviation,venue_id,country_id,region_id,club/created,club/updated,club/id,club/opta_id,club/sportec_id,club/name,club/abbreviation,club/year_founded,regular_season_statistics/att_pen_goal,regular_season_statistics/clean_sheet,regular_season_statistics/fk_foul_lost,regular_season_statistics/fk_foul_won,regular_season_statistics/games_played,regular_season_statistics/goal_assist,regular_season_statistics/goals,regular_season_statistics/goals_conceded,regular_season_statistics/ontarget_scoring_att,regular_season_statistics/own_goals,regular_season_statistics/att_pen_miss,regular_season_statistics/att_pen_taken,regular_season_statistics/penalty_conceded,regular_season_statistics/penalty_faced,regular_season_statistics/saves,regular_season_statistics/total_offside,regular_season_statistics/total_scoring_att,regular_season_statistics/yellow_card,regular_season_statistics/total_red_card,regular_season_statistics/winning_goal,regular_season_statistics/type,regular_season_statistics/total_matches,regular_season_statistics/home_matches,regular_season_statistics/away_matches,regular_season_statistics/total_wins,regular_season_statistics/home_wins,regular_season_statistics/away_wins,regular_season_statistics/total_losses,regular_season_statistics/home_losses,regular_season_statistics/away_losses,regular_season_statistics/total_draws,regular_season_statistics/home_draws,regular_season_statistics/away_draws
1602184681000,1602184681000,115,12,5,New York Red Bulls,NY,4645,,,1602184675000,1602184675000,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,4,10,540,450,32,38,41,41,187,1,1,5,4,4,145,109,392,63,4,11,regular,32,16,16,9,8,1,11,3,8,12,5,7
1602184681000,1602184681000,116,12,6,Kansas City Wizards,KC,2703,,,1602184675000,1602184675000,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,5,6,399,460,32,35,43,45,180,1,1,6,5,6,104,86,408,51,4,14,regular,32,16,16,10,7,3,14,4,10,8,5,3
1602184681000,1602184681000,117,12,7,Colorado Rapids,COL,770,,,1602184675000,1602184675000,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,4,9,420,402,32,38,36,49,168,1,1,5,4,5,114,100,364,65,6,13,regular,32,16,16,11,9,2,13,3,10,8,4,4
1602184681000,1602184681000,118,12,8,Columbus Crew,CLB,21,,,1602184675000,1635388569000,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,4,7,512,468,32,24,30,42,186,1,1,5,1,2,138,117,358,56,5,15,regular,32,16,16,8,4,4,15,6,9,9,6,3
1602184681000,1602184681000,119,12,9,New England Revolution,NE,23,,,1602184675000,1602184675000,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,2,10,422,515,32,42,39,35,182,,1,3,1,3,141,94,382,58,1,12,regular,32,16,16,12,8,4,8,3,5,12,5,7
1602184681000,1602184681000,120,12,11,Chicago Fire,CHI,20,,,1602184675000,1635374910000,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,3,8,457,466,32,41,43,41,175,2,3,6,3,4,133,84,345,53,2,13,regular,32,16,16,13,8,5,11,4,7,8,4,4
1602184681000,1602184681000,121,12,12,Los Angeles Galaxy,LA,38,,,1602184675000,1602184675000,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,2,9,532,501,32,39,37,37,144,1,1,3,2,3,99,86,335,57,,15,regular,32,16,16,11,6,5,15,6,9,6,4,2
1602184681000,1602184681000,122,12,13,D.C. United,DC,22,,,1602184675000,1602184675000,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,8,8,454,433,32,49,52,38,194,1,1,9,8,9,106,91,379,63,5,15,regular,32,16,16,15,9,6,7,3,4,10,4,6
1602184681000,1602184681000,123,12,18,Houston Dynamo,HOU,40,,,1602184675000,1633474374000,18,1897,MLS-CLU-00000H,Houston Dynamo FC,HOU,2005,3,5,502,530,32,41,44,40,158,1,,3,3,3,85,101,348,51,7,11,regular,32,16,16,11,8,3,8,3,5,13,5,8
1602184681000,1602184681000,124,12,19,Real Salt Lake,RSL,359440,,,1602184675000,1602184675000,19,1899,MLS-CLU-00000R,Real Salt Lake,RSL,2004,5,4,422,416,32,42,45,49,171,,1,6,1,2,115,123,355,59,5,13,regular,32,16,16,10,6,4,13,4,9,9,6,3
1602184681000,1602184681000,125,12,20,FC Dallas,DAL,34,,,1602184675000,1602184675000,20,1903,MLS-CLU-000005,FC Dallas,DAL,1995,1,5,476,419,32,51,48,44,168,2,,1,1,1,109,105,398,58,2,16,regular,32,16,16,16,12,4,12,3,9,4,1,3
1602184681000,1602184681000,126,12,22,Chivas USA,CHV,38,,,1602184675000,1602184675000,22,2079,,Chivas USA,CHV,2005,4,10,437,401,32,44,45,42,174,,,4,2,2,107,129,363,56,3,10,regular,32,16,16,10,7,3,9,2,7,13,7,6
