club id,club name,club abbreviation,accurate back zone pass,accurate corners intobox,accurate cross,accurate cross nocorner,accurate fwd zone pass,accurate goal kicks,accurate launches,accurate layoffs,accurate long balls,accurate pass,accurate throws,aerial lost,aerial won,att hd goal,att ibox goal,att lf goal,att obox goal,att pen goal,att rf goal,att setpiece,attempted tackle foul,attempts conceded ibox,attempts conceded obox,ball recovery,blocked scoring att,clean sheet,clearance off line,corner taken,drops,failed back zone pass,failed corner intobox,failed cross,failed cross nocorner,failed dribble,failed fwd zone pass,failed launches,failed layoffs,failed long balls,failed short pass,failed throws,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,goals conceded ibox,goals conceded obox,good claim,ground duel lost,ground duel won,hand ball,inaccurate goal kicks,interception,lost tackle,ontarget scoring att,open play pass,outfielder block,own goals,own goals accrued,att pen miss,att pen taken,pen goals conceded,penalty conceded,penalty won,penalty save,poss lost all,possession percentage,post scoring att,pts dropped winning pos,pts gained losing pos,putthrough block dist,putthrough block dist won,saves,shots conc onfield,successful open play pass,successful dribble,successful short pass,total att assist,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,won tackle,yellow card,second yellow,red card,total red card,duel,duel lost,duel won,aerial duel,ground duel,accurate cross per,accurate fwd zone pass per,accurate pass per,accurate shooting per,goal conversion per,tackle success per,total matches,home matches,away matches,total wins,home wins,away wins,total losses,home losses,away losses,total draws,home draws,away draws,successfull dribble,successfull short pass,att freekick goal,last man tackle,other goals,times tackled
15.0,CF Montréal,MTL,6196.0,39.0,121.0,67.0,6555.0,320.0,128.0,115.0,1113.0,12630.0,583.0,474.0,495.0,5.0,44.0,10.0,3.0,6.0,28.0,11.0,219.0,110.0,42.0,2032.0,96.0,8.0,2.0,165.0,,785.0,90.0,406.0,278.0,221.0,2505.0,444.0,14.0,1060.0,1824.0,109.0,382.0,384.0,34.0,34.0,47.0,60.0,53.0,7.0,12.0,1239.0,1266.0,16.0,97.0,357.0,218.0,122.0,14712.0,72.0,1.0,3.0,,6.0,6.0,7.0,6.0,1.0,4609.0,49.0,5.0,14.0,13.0,477.0,232.0,90.0,376.0,12034.0,347.0,11517.0,263.0,578.0,48.0,15514.0,2884.0,391.0,165.0,333.0,55.0,,3.0,3.0,3474.0,1713.0,1761.0,969.0,2505.0,22.96,75.4,81.41,31.2,12.02,60.44,34.0,17.0,17.0,12.0,8.0,4.0,17.0,6.0,11.0,5.0,3.0,2.0,347.0,11517.0,,1.0,1.0,
16.0,Vancouver Whitecaps FC,VAN,6856.0,32.0,115.0,74.0,4997.0,418.0,137.0,121.0,1003.0,11738.0,522.0,485.0,453.0,5.0,32.0,12.0,5.0,5.0,20.0,19.0,199.0,143.0,72.0,1894.0,84.0,5.0,5.0,130.0,2.0,892.0,78.0,351.0,251.0,209.0,2240.0,390.0,28.0,1116.0,1665.0,95.0,356.0,371.0,34.0,30.0,37.0,59.0,50.0,9.0,35.0,1114.0,1121.0,21.0,153.0,402.0,188.0,135.0,13583.0,176.0,4.0,,,7.0,8.0,8.0,7.0,,4298.0,45.0,13.0,23.0,8.0,407.0,178.0,154.0,683.0,11082.0,285.0,10735.0,234.0,808.0,39.0,14519.0,2781.0,359.0,130.0,293.0,64.0,,1.0,1.0,3173.0,1599.0,1574.0,938.0,2235.0,24.68,72.1,80.85,37.6,10.31,60.91,34.0,17.0,17.0,8.0,5.0,3.0,16.0,7.0,9.0,10.0,5.0,5.0,285.0,10735.0,1.0,2.0,,
18.0,Houston Dynamo FC,HOU,5704.0,39.0,117.0,77.0,5871.0,355.0,103.0,163.0,962.0,11458.0,596.0,506.0,388.0,3.0,45.0,12.0,4.0,4.0,29.0,18.0,249.0,112.0,57.0,1838.0,108.0,3.0,3.0,180.0,2.0,637.0,108.0,414.0,275.0,227.0,2413.0,390.0,18.0,1012.0,1624.0,78.0,417.0,399.0,34.0,47.0,49.0,59.0,51.0,8.0,23.0,1261.0,1268.0,24.0,117.0,287.0,236.0,148.0,13183.0,113.0,,4.0,1.0,5.0,7.0,7.0,5.0,,4243.0,47.0,13.0,11.0,15.0,490.0,226.0,107.0,486.0,10812.0,299.0,10496.0,299.0,503.0,67.0,14094.0,2636.0,455.0,180.0,351.0,67.0,1.0,3.0,4.0,3423.0,1767.0,1656.0,894.0,2529.0,22.03,74.22,81.3,32.53,10.77,59.8,34.0,17.0,17.0,12.0,10.0,2.0,18.0,3.0,15.0,4.0,4.0,,299.0,10496.0,,1.0,1.0,
19.0,Real Salt Lake,RSL,6277.0,38.0,108.0,66.0,5960.0,310.0,140.0,176.0,1146.0,12129.0,597.0,475.0,515.0,4.0,35.0,9.0,11.0,6.0,33.0,13.0,209.0,94.0,39.0,1897.0,113.0,12.0,5.0,119.0,,792.0,66.0,326.0,238.0,225.0,2372.0,414.0,21.0,1099.0,1739.0,113.0,382.0,390.0,34.0,39.0,46.0,41.0,32.0,9.0,7.0,1166.0,1174.0,19.0,135.0,353.0,181.0,158.0,14042.0,116.0,1.0,,,7.0,3.0,5.0,7.0,1.0,4443.0,50.0,16.0,8.0,8.0,437.0,199.0,90.0,430.0,11475.0,324.0,10983.0,291.0,659.0,87.0,14967.0,2838.0,428.0,119.0,297.0,65.0,1.0,4.0,5.0,3330.0,1641.0,1689.0,990.0,2340.0,24.88,74.09,81.04,36.92,10.75,62.13,34.0,17.0,17.0,16.0,12.0,4.0,13.0,4.0,9.0,5.0,1.0,4.0,324.0,10983.0,,2.0,,
20.0,FC Dallas,DAL,8372.0,52.0,118.0,71.0,6002.0,365.0,81.0,156.0,1063.0,14256.0,581.0,385.0,397.0,3.0,47.0,16.0,7.0,4.0,32.0,25.0,249.0,94.0,46.0,1887.0,120.0,8.0,2.0,193.0,2.0,842.0,79.0,369.0,271.0,237.0,2133.0,349.0,14.0,861.0,1745.0,73.0,427.0,399.0,34.0,47.0,54.0,46.0,36.0,10.0,6.0,1280.0,1306.0,23.0,54.0,373.0,235.0,166.0,16006.0,101.0,,3.0,,5.0,5.0,8.0,5.0,3.0,4198.0,54.0,8.0,11.0,6.0,492.0,229.0,92.0,433.0,13523.0,316.0,13193.0,314.0,558.0,51.0,16862.0,2606.0,469.0,193.0,370.0,67.0,,1.0,1.0,3368.0,1665.0,1703.0,782.0,2586.0,24.23,76.94,84.55,35.39,11.51,61.16,34.0,17.0,17.0,13.0,10.0,3.0,12.0,1.0,11.0,9.0,6.0,3.0,316.0,13193.0,1.0,1.0,,
21.0,Toronto FC,TOR,7051.0,49.0,120.0,66.0,8428.0,346.0,82.0,190.0,1120.0,15359.0,600.0,408.0,411.0,11.0,47.0,5.0,10.0,5.0,41.0,17.0,184.0,98.0,47.0,1963.0,92.0,5.0,2.0,196.0,7.0,678.0,107.0,421.0,287.0,240.0,2397.0,287.0,19.0,878.0,1776.0,85.0,330.0,362.0,34.0,57.0,57.0,52.0,46.0,6.0,17.0,1113.0,1182.0,27.0,97.0,289.0,217.0,165.0,17157.0,80.0,2.0,,,7.0,10.0,13.0,7.0,1.0,4360.0,54.0,9.0,21.0,19.0,506.0,231.0,91.0,424.0,14715.0,317.0,14239.0,302.0,496.0,61.0,18013.0,2654.0,439.0,196.0,300.0,50.0,2.0,1.0,3.0,3114.0,1521.0,1593.0,819.0,2295.0,22.18,80.79,85.27,37.59,12.98,58.03,34.0,17.0,17.0,13.0,9.0,4.0,10.0,4.0,6.0,11.0,4.0,7.0,317.0,14239.0,3.0,4.0,,
23.0,Seattle Sounders FC,SEA,6190.0,52.0,144.0,84.0,7091.0,411.0,112.0,130.0,1096.0,13137.0,571.0,458.0,471.0,7.0,46.0,17.0,6.0,3.0,26.0,10.0,198.0,104.0,63.0,1975.0,113.0,10.0,2.0,212.0,4.0,899.0,114.0,452.0,311.0,212.0,2460.0,369.0,14.0,886.0,2021.0,116.0,346.0,411.0,34.0,50.0,52.0,49.0,43.0,6.0,19.0,1187.0,1212.0,25.0,84.0,355.0,240.0,144.0,15145.0,107.0,2.0,2.0,,3.0,5.0,5.0,3.0,,4669.0,50.0,13.0,9.0,13.0,595.0,254.0,117.0,474.0,12422.0,282.0,12041.0,299.0,586.0,55.0,16044.0,2907.0,425.0,212.0,298.0,54.0,2.0,1.0,3.0,3328.0,1645.0,1683.0,929.0,2399.0,24.16,77.58,81.88,33.88,12.24,55.39,34.0,17.0,17.0,16.0,11.0,5.0,10.0,2.0,8.0,8.0,4.0,4.0,282.0,12041.0,,1.0,,
24.0,Philadelphia Union,PHI,5782.0,55.0,122.0,65.0,7805.0,310.0,189.0,151.0,923.0,13465.0,588.0,537.0,530.0,5.0,52.0,15.0,6.0,4.0,37.0,15.0,206.0,101.0,37.0,2118.0,113.0,6.0,7.0,183.0,4.0,733.0,97.0,413.0,299.0,223.0,2670.0,439.0,31.0,994.0,1996.0,82.0,388.0,326.0,34.0,59.0,58.0,50.0,40.0,10.0,17.0,1220.0,1309.0,23.0,110.0,311.0,264.0,172.0,15677.0,104.0,1.0,1.0,1.0,8.0,5.0,6.0,8.0,1.0,4674.0,53.0,10.0,11.0,18.0,539.0,260.0,84.0,394.0,12899.0,362.0,12542.0,314.0,533.0,81.0,16455.0,2990.0,475.0,183.0,378.0,58.0,1.0,2.0,3.0,3596.0,1757.0,1839.0,1067.0,2529.0,22.8,77.29,81.83,36.21,12.21,58.88,34.0,17.0,17.0,16.0,10.0,6.0,11.0,3.0,8.0,7.0,4.0,3.0,362.0,12542.0,1.0,4.0,,
26.0,Orlando City SC,ORL,5408.0,44.0,107.0,60.0,6453.0,359.0,106.0,156.0,924.0,11754.0,579.0,487.0,484.0,8.0,39.0,5.0,5.0,3.0,31.0,14.0,206.0,117.0,52.0,1945.0,94.0,7.0,3.0,162.0,2.0,714.0,81.0,400.0,290.0,236.0,2601.0,410.0,24.0,1057.0,1858.0,113.0,377.0,327.0,34.0,45.0,44.0,52.0,44.0,8.0,21.0,1237.0,1168.0,19.0,154.0,353.0,201.0,130.0,13797.0,86.0,2.0,,,5.0,1.0,1.0,5.0,,4620.0,48.0,9.0,23.0,11.0,509.0,211.0,114.0,467.0,11163.0,306.0,10830.0,257.0,713.0,56.0,14669.0,2915.0,386.0,162.0,342.0,62.0,,3.0,3.0,3376.0,1724.0,1652.0,971.0,2405.0,21.1,74.25,80.13,33.68,11.4,62.98,34.0,17.0,17.0,9.0,6.0,3.0,15.0,8.0,7.0,10.0,3.0,7.0,306.0,10830.0,2.0,3.0,,
27.0,Minnesota United FC,MIN,5202.0,41.0,138.0,93.0,5853.0,348.0,116.0,111.0,911.0,10917.0,522.0,542.0,464.0,7.0,44.0,10.0,8.0,6.0,33.0,12.0,210.0,109.0,66.0,2124.0,104.0,11.0,3.0,159.0,3.0,736.0,100.0,493.0,383.0,241.0,2619.0,418.0,12.0,1008.0,1854.0,139.0,390.0,319.0,34.0,46.0,52.0,43.0,37.0,6.0,9.0,1238.0,1261.0,22.0,143.0,432.0,219.0,148.0,12920.0,121.0,,2.0,,7.0,3.0,4.0,7.0,1.0,4728.0,44.0,13.0,12.0,15.0,499.0,242.0,132.0,491.0,10344.0,355.0,10006.0,314.0,658.0,51.0,13779.0,2862.0,467.0,159.0,377.0,55.0,2.0,2.0,4.0,3505.0,1780.0,1725.0,1006.0,2499.0,21.87,72.89,79.23,31.69,11.13,63.26,34.0,17.0,17.0,15.0,10.0,5.0,11.0,1.0,10.0,8.0,6.0,2.0,355.0,10006.0,,,,576.0
28.0,New York City FC,NYC,8156.0,50.0,119.0,76.0,6033.0,371.0,140.0,208.0,1220.0,14070.0,617.0,508.0,517.0,2.0,49.0,21.0,14.0,5.0,40.0,28.0,276.0,86.0,47.0,2163.0,113.0,8.0,2.0,179.0,1.0,1041.0,100.0,361.0,232.0,213.0,2578.0,468.0,34.0,1109.0,2149.0,74.0,467.0,409.0,34.0,60.0,63.0,42.0,38.0,4.0,11.0,1354.0,1304.0,25.0,75.0,344.0,220.0,197.0,16358.0,89.0,3.0,,2.0,9.0,8.0,10.0,9.0,2.0,4954.0,58.0,16.0,16.0,25.0,590.0,269.0,88.0,392.0,13357.0,322.0,12850.0,339.0,642.0,68.0,17328.0,3258.0,516.0,179.0,366.0,79.0,,1.0,1.0,3683.0,1862.0,1821.0,1025.0,2658.0,24.79,72.73,81.2,38.18,12.21,62.46,34.0,17.0,17.0,18.0,11.0,7.0,6.0,1.0,5.0,10.0,5.0,5.0,322.0,12850.0,3.0,3.0,,
29.0,Atlanta United,ATL,6646.0,69.0,134.0,62.0,7305.0,363.0,107.0,165.0,1150.0,13817.0,641.0,382.0,435.0,7.0,51.0,13.0,7.0,8.0,35.0,28.0,190.0,97.0,40.0,2148.0,99.0,14.0,3.0,196.0,3.0,758.0,107.0,434.0,306.0,268.0,2633.0,351.0,25.0,942.0,2015.0,73.0,350.0,402.0,34.0,48.0,58.0,43.0,38.0,5.0,14.0,1239.0,1317.0,16.0,86.0,319.0,203.0,179.0,15917.0,90.0,2.0,3.0,2.0,10.0,3.0,5.0,10.0,1.0,4719.0,55.0,11.0,18.0,2.0,566.0,255.0,91.0,385.0,13170.0,419.0,12667.0,345.0,457.0,56.0,16774.0,2957.0,509.0,196.0,303.0,56.0,,2.0,2.0,3373.0,1621.0,1752.0,817.0,2556.0,23.59,76.53,82.37,35.17,11.39,59.88,34.0,17.0,17.0,18.0,12.0,6.0,12.0,2.0,10.0,4.0,3.0,1.0,419.0,12667.0,,4.0,,588.0
30.0,FC Cincinnati,CIN,6039.0,35.0,101.0,59.0,4928.0,374.0,162.0,131.0,1031.0,10866.0,551.0,547.0,555.0,2.0,28.0,11.0,3.0,4.0,16.0,15.0,204.0,128.0,41.0,1920.0,76.0,5.0,1.0,130.0,2.0,857.0,84.0,337.0,220.0,216.0,2529.0,495.0,22.0,1159.0,1890.0,105.0,371.0,383.0,34.0,26.0,31.0,75.0,66.0,9.0,18.0,1091.0,1176.0,20.0,145.0,365.0,192.0,121.0,13032.0,128.0,1.0,2.0,,5.0,3.0,7.0,5.0,3.0,4630.0,46.0,18.0,18.0,1.0,451.0,213.0,96.0,512.0,10245.0,286.0,9835.0,253.0,666.0,66.0,13915.0,3049.0,359.0,130.0,326.0,57.0,1.0,3.0,4.0,3369.0,1638.0,1731.0,1102.0,2267.0,23.06,68.77,78.09,33.7,8.64,62.93,34.0,17.0,17.0,6.0,3.0,3.0,22.0,11.0,11.0,6.0,3.0,3.0,286.0,9835.0,,1.0,,
31.0,Los Angeles Football Club,LAFC,6780.0,49.0,99.0,45.0,8423.0,347.0,84.0,178.0,759.0,15104.0,601.0,356.0,401.0,10.0,77.0,46.0,8.0,9.0,28.0,42.0,228.0,99.0,33.0,2338.0,147.0,9.0,6.0,218.0,11.0,691.0,113.0,332.0,195.0,370.0,2439.0,292.0,17.0,731.0,2067.0,40.0,396.0,428.0,34.0,75.0,85.0,37.0,33.0,4.0,16.0,1476.0,1496.0,16.0,54.0,333.0,211.0,234.0,17110.0,80.0,3.0,1.0,,11.0,2.0,3.0,11.0,1.0,4689.0,57.0,17.0,7.0,22.0,598.0,281.0,89.0,345.0,14431.0,491.0,14345.0,401.0,474.0,74.0,17902.0,2798.0,621.0,218.0,378.0,52.0,1.0,,1.0,3729.0,1832.0,1897.0,757.0,2972.0,22.97,79.8,84.37,37.68,13.69,64.18,34.0,17.0,17.0,21.0,13.0,8.0,4.0,1.0,3.0,9.0,3.0,6.0,491.0,14345.0,2.0,1.0,,
