club id,accurate launches,att lf goal,failed cross nocorner,total draws,ground duel won,att pen goal,blocked scoring att,attempts conceded ibox,interception,aerial lost,failed back zone pass,hand ball,attempts conceded obox,failed launches,accurate layoffs,open play pass,total matches,away wins,fk foul lost,accurate long balls,goals,total clearance,total wins,accurate fwd zone pass per,att obox goal,failed layoffs,accurate goal kicks,att pen miss,away draws,successful open play pass,accurate back zone pass,att freekick goal,other goals,accurate shooting per,away matches,home draws,accurate cross,failed corner intobox,total att assist,duel,good claim,att setpiece,att hd goal,away losses,total losses,post scoring att,total red card,last man tackle,corner taken,accurate pass,ground duel,accurate corners intobox,shots conc onfield,lost tackle,penalty won,accurate fwd zone pass,goals conceded,won tackle,won corners,pen goals conceded,goal conversion per,club abbreviation,ontarget scoring att,yellow card,aerial won,poss lost all,ball recovery,penalty conceded,failed fwd zone pass,home losses,possession percentage,goals conceded ibox,failed cross,aerial duel,tackle success per,own goals,ground duel lost,accurate throws,own goals accrued,penalty save,accurate pass per,accurate cross per,games played,total pass,att ibox goal,failed throws,inaccurate goal kicks,home matches,red card,successful dribble,successfull short pass,fk foul won,failed long balls,goal assist,drops,accurate cross nocorner,total pass miss,home wins,goals conceded obox,outfielder block,saves,successfull dribble,duel lost,second yellow,att rf goal,total scoring att,att pen taken,failed short pass,successful short pass,clean sheet,duel won,failed dribble,total offside,clearance off line,points,season,goal_weighted_score,attack_weighted_score,defense_weighted_score,possession_weighted_score
20,124.0,13.0,273.0,9.0,1258.0,3.0,91.0,94.0,449.0,420.0,677.0,23.0,49.0,370.0,205.0,12700.0,34.0,4.0,413.0,1033.0,48.0,671.0,14.0,68.0,7.0,20.0,330.0,0.0,5.0,9807.0,5215.0,1.0,0.0,35.0,17.0,5.0,134.0,89.0,292.0,3442.0,18.0,18.0,7.0,8.0,10.0,11.0,3.0,2.0,169.0,10335.0,2495.0,47.0,433.0,166.0,5.0,5251.0,44.0,433.0,169.0,3.0,11.0,0.0,148.0,54.0,454.0,4768.0,1885.0,5.0,2708.0,3.0,49.0,36.0,389.0,874.0,72.0,1.0,1221.0,622.0,1.0,1.0,77.0,24.0,34.0,13495.0,43.0,160.0,125.0,17.0,2.0,264.0,9264.0,394.0,1012.0,45.0,4.0,78.0,2903.0,10.0,7.0,99.0,97.0,264.0,1671.0,1.0,28.0,430.0,5.0,1946.0,9264.0,9.0,1758.0,238.0,72.0,3.0,52.0,2016.0,0.13,0.21,0.17,0.29
21,143.0,12.0,316.0,9.0,1202.0,4.0,95.0,117.0,435.0,398.0,716.0,23.0,49.0,451.0,332.0,14199.0,34.0,2.0,359.0,1030.0,49.0,586.0,10.0,71.0,8.0,34.0,328.0,0.0,4.0,11248.0,5684.0,1.0,0.0,35.0,17.0,4.0,135.0,91.0,275.0,3192.0,24.0,27.0,7.0,10.0,15.0,13.0,3.0,2.0,165.0,11798.0,2338.0,44.0,463.0,175.0,6.0,6228.0,58.0,439.0,165.0,3.0,10.0,0.0,152.0,54.0,411.0,4776.0,2011.0,4.0,2702.0,5.0,50.0,49.0,453.0,819.0,71.0,1.0,1154.0,600.0,1.0,1.0,78.0,23.0,34.0,15077.0,39.0,134.0,130.0,17.0,1.0,240.0,10623.0,401.0,992.0,42.0,4.0,89.0,3001.0,7.0,9.0,100.0,109.0,240.0,1565.0,1.0,28.0,439.0,6.0,1972.0,10623.0,5.0,1619.0,240.0,67.0,2.0,36.0,2016.0,-0.33,0.24,0.19,0.47
22,217.5,7.5,410.5,8.5,1154.0,2.0,90.0,114.0,505.0,447.0,644.0,34.5,53.5,603.0,391.0,5692.0,34.0,3.0,444.5,1062.5,29.5,914.0,7.5,69.5,4.0,45.5,345.0,0.0,5.0,4229.0,4778.5,0.0,0.0,32.0,17.0,3.5,179.5,85.5,254.0,3199.5,35.0,10.5,6.5,8.5,18.5,7.0,5.5,5.0,151.0,10314.0,2348.0,45.0,470.5,112.5,3.0,5718.0,59.5,503.5,151.0,3.0,9.0,0.0,115.5,59.5,372.5,5193.0,1991.0,4.5,2771.0,8.5,47.5,50.5,529.0,819.5,82.0,1.5,1194.0,663.5,0.5,0.5,77.0,26.0,34.0,13262.5,25.5,136.0,143.5,17.0,4.0,176.0,9238.5,372.0,917.0,25.0,3.5,121.0,2948.5,5.0,9.0,102.0,111.0,176.0,1654.0,0.5,15.0,365.0,3.0,1958.0,9238.5,6.5,1530.5,182.0,54.0,7.0,31.5,2012.5,-0.8,0.0,0.31,0.13
23,149.0,12.0,386.0,7.0,1212.0,3.0,109.0,98.0,534.0,457.0,763.0,20.0,48.0,446.0,261.0,15145.0,34.0,5.0,357.0,1087.0,51.0,610.0,15.0,74.0,6.0,29.0,309.0,0.0,4.0,12271.0,6190.0,1.0,0.0,32.0,17.0,3.0,169.0,96.0,292.0,3313.0,25.0,22.0,9.0,8.0,10.0,11.0,4.0,1.0,169.0,12899.0,2393.0,54.0,431.0,163.0,4.0,6997.0,39.0,468.0,169.0,3.0,11.0,0.0,144.0,54.0,471.0,4855.0,2033.0,4.0,2787.0,4.0,52.0,32.0,525.0,929.0,72.0,0.0,1151.0,619.0,2.0,0.0,81.0,25.0,34.0,16032.0,46.0,149.0,129.0,17.0,2.0,243.0,11709.0,411.0,897.0,50.0,2.0,115.0,3022.0,10.0,6.0,102.0,102.0,243.0,1602.0,1.0,24.0,431.0,4.0,2021.0,11709.0,10.0,1683.0,210.0,66.0,2.0,53.0,2016.0,0.37,0.22,0.22,0.62
24,203.0,10.0,312.0,9.0,1205.0,5.0,100.0,99.0,466.0,494.0,701.0,30.0,43.0,536.0,229.0,12007.0,34.0,4.0,413.0,951.0,50.0,695.0,11.0,69.0,6.0,31.0,292.0,0.0,4.0,9267.0,4662.0,1.0,0.0,35.0,17.0,4.0,150.0,99.0,280.0,3432.0,30.0,17.0,7.0,8.0,12.0,10.0,4.0,4.0,173.0,9898.0,2428.0,54.0,424.0,177.0,7.0,5378.0,47.0,464.0,173.0,4.0,11.0,0.0,150.0,57.0,511.0,5060.0,2118.0,6.0,2731.0,4.0,48.0,42.0,455.0,1017.0,72.0,1.0,1193.0,588.0,1.0,0.0,76.0,25.0,34.0,13361.0,42.0,185.0,131.0,17.0,2.0,228.0,8864.0,368.0,1039.0,46.0,4.0,89.0,3018.0,8.0,5.0,100.0,100.0,228.0,1690.0,1.0,31.0,450.0,7.0,1999.0,8864.0,10.0,1716.0,226.0,76.0,4.0,46.0,2016.0,0.07,0.23,0.2,0.23
15,138.0,9.5,275.5,6.0,1256.5,5.0,95.0,105.0,557.0,394.0,732.0,29.0,52.0,430.5,270.0,13058.0,34.0,3.5,420.0,1149.0,47.5,652.5,12.0,70.5,6.5,29.0,344.5,0.0,3.5,10461.5,5935.5,0.0,0.0,35.0,17.0,3.0,127.5,87.5,277.5,3314.5,22.0,17.5,4.5,10.0,16.0,8.5,3.0,3.0,156.0,11159.0,2504.5,40.5,437.5,166.0,6.0,5372.0,52.5,469.5,156.0,6.0,11.0,0.0,152.5,65.0,379.0,4657.0,2119.5,6.5,2558.0,4.5,48.0,45.0,390.5,773.5,73.5,1.0,1240.5,597.0,0.5,0.0,79.0,24.5,34.0,14044.5,40.0,106.5,126.5,17.0,3.0,269.0,10014.0,380.5,1026.0,43.0,3.0,76.5,2868.5,9.5,7.5,95.5,105.5,269.0,1666.0,0.5,33.5,421.5,6.0,1809.5,10014.0,8.0,1659.5,262.5,71.5,4.0,43.5,2016.5,-0.17,0.21,0.25,0.39
26,146.0,10.0,324.0,9.0,1260.0,4.0,94.0,117.0,444.0,380.0,714.0,19.0,45.0,410.0,156.0,13787.0,34.0,3.0,395.0,1022.0,44.0,613.0,10.0,74.0,5.0,22.0,327.0,1.0,4.0,11163.0,5894.0,1.0,0.0,33.0,17.0,5.0,136.0,88.0,273.0,3253.0,21.0,19.0,9.0,7.0,14.0,9.0,4.0,2.0,164.0,11873.0,2435.0,48.0,434.0,188.0,5.0,6150.0,56.0,427.0,164.0,4.0,11.0,0.0,142.0,69.0,389.0,4539.0,1880.0,6.0,2542.0,5.0,50.0,50.0,447.0,769.0,64.0,1.0,1260.0,580.0,2.0,1.0,81.0,23.0,34.0,14669.0,39.0,113.0,125.0,17.0,4.0,238.0,10984.0,450.0,1021.0,45.0,3.0,81.0,2754.0,7.0,8.0,93.0,113.0,238.0,1640.0,1.0,21.0,408.0,5.0,1739.0,10984.0,7.0,1652.0,239.0,51.0,3.0,41.0,2018.0,-0.37,0.18,0.21,0.5
28,146.0,17.0,276.0,9.0,1286.0,5.0,109.0,96.0,449.0,395.0,912.0,25.0,47.0,468.0,216.0,15556.0,34.0,6.0,447.0,1126.0,57.0,664.0,16.0,72.0,6.0,28.0,336.0,0.0,4.0,13105.0,7727.0,1.0,0.0,37.0,17.0,5.0,124.0,80.0,317.0,3496.0,14.0,19.0,6.0,8.0,10.0,13.0,2.0,3.0,178.0,13735.0,2600.0,51.0,420.0,206.0,7.0,6033.0,43.0,439.0,178.0,4.0,11.0,0.0,176.0,75.0,396.0,5006.0,2143.0,4.0,2594.0,3.0,55.0,38.0,378.0,789.0,67.0,1.0,1336.0,626.0,1.0,0.0,81.0,25.0,34.0,16502.0,50.0,100.0,85.0,17.0,1.0,292.0,12850.0,409.0,1105.0,56.0,2.0,76.0,3219.0,10.0,6.0,95.0,99.0,292.0,1708.0,1.0,30.0,482.0,7.0,2086.0,12850.0,8.0,1768.0,239.0,68.0,2.0,55.0,2018.0,0.36,0.35,0.17,0.74
27,116.0,10.0,314.0,6.0,1261.0,3.0,95.0,122.0,432.0,467.0,779.0,22.0,60.0,418.0,118.0,13133.0,34.0,5.0,390.0,911.0,48.0,698.0,11.0,72.0,7.0,23.0,348.0,0.0,2.0,10484.0,5477.0,0.0,0.0,34.0,17.0,5.0,138.0,100.0,279.0,3342.0,11.0,12.0,6.0,10.0,14.0,11.0,3.0,0.0,159.0,11054.0,2523.0,39.0,496.0,193.0,4.0,5853.0,51.0,377.0,159.0,4.0,11.0,0.0,141.0,67.0,435.0,4728.0,2124.0,5.0,2615.0,4.0,46.0,48.0,440.0,922.0,63.0,1.0,1241.0,565.0,2.0,1.0,79.0,22.0,34.0,13930.0,42.0,127.0,143.0,17.0,2.0,337.0,10137.0,348.0,1008.0,42.0,2.0,85.0,2862.0,8.0,6.0,121.0,121.0,337.0,1746.0,2.0,28.0,421.0,4.0,1854.0,10137.0,5.0,1629.0,263.0,69.0,2.0,41.0,2019.0,-0.11,0.19,0.26,0.39
29,107.0,15.0,306.0,10.0,1271.0,4.0,101.0,97.0,319.0,348.0,807.0,25.0,40.0,351.0,165.0,15640.0,34.0,4.0,387.0,1150.0,66.0,566.0,15.0,78.0,8.0,25.0,363.0,2.0,5.0,13170.0,6686.0,1.0,0.0,38.0,17.0,4.0,134.0,98.0,342.0,3166.0,20.0,18.0,12.0,6.0,9.0,10.0,3.0,1.0,173.0,13817.0,2471.0,53.0,401.0,203.0,4.0,7051.0,44.0,310.0,173.0,5.0,13.0,0.0,179.0,63.0,365.0,4348.0,2034.0,5.0,2380.0,3.0,56.0,39.0,434.0,706.0,59.0,1.0,1218.0,564.0,2.0,0.0,83.0,25.0,34.0,16466.0,56.0,62.0,82.0,17.0,2.0,344.0,12667.0,390.0,942.0,63.0,3.0,96.0,2721.0,11.0,5.0,103.0,89.0,344.0,1563.0,1.0,34.0,509.0,4.0,1824.0,12667.0,8.0,1629.0,254.0,64.0,3.0,55.0,2019.0,0.52,0.38,0.04,0.74
